"PLOT","CENSUS","ACS_ha","log_cat","log_volume","time_since_logged_yr"
1,1993,166.053300692484,"8 trees",25.6,0
1,1995,147.580067897285,"8 trees",25.6,1.50921413121846
1,1997,151.136608925484,"8 trees",25.6,3.58066330209084
1,2000,160.462467205868,"8 trees",25.6,7.13782984859409
1,2013,192.401754578535,"8 trees",25.6,19.987548666186
10,1993,155.223709153388,"4 trees",16.3,0
10,1995,141.050730858493,"4 trees",16.3,1.42255301401944
10,1997,142.09693496607,"4 trees",16.3,3.45131692919701
10,2000,144.285429330804,"4 trees",16.3,7.07085431972025
10,2013,158.160147258932,"4 trees",16.3,19.8519264701165
11,1993,177.096005239924,"4 trees",18.2,0
11,1995,163.0430629845,"4 trees",18.2,1.41981712498725
11,1997,161.834416357745,"4 trees",18.2,3.43759475169108
11,2000,160.05826642819,"4 trees",18.2,7.0584044325096
11,2013,179.402216226543,"4 trees",18.2,19.8482273360753
12,1993,209.807363216664,"control",0,0
12,1995,210.624345466218,"control",0,1.41848267772611
12,1997,210.543307011522,"control",0,3.43115076871518
12,2000,219.414708667446,"control",0,7.05651208579448
12,2013,238.983327972361,"control",0,19.8765615181601
13,1993,224.503473578613,"8 trees liberation",38.6,0
13,1995,192.088001820197,"8 trees liberation",38.6,1.42119094213028
14,1993,174.686180959984,"16 trees",50.3,0
14,1995,140.096075489958,"16 trees",50.3,1.42291468872915
14,1997,138.178177332723,"16 trees",50.3,3.42526786925268
14,2000,141.873696861649,"16 trees",50.3,7.05733758307338
14,2013,161.617891023128,"16 trees",50.3,19.8204190967042
15,1993,222.558986286654,"8 trees",24.5,0
15,1995,199.598918527458,"8 trees",24.5,1.4168351440718
15,1997,197.450695216414,"8 trees",24.5,3.41514722091009
15,2000,203.558840204598,"8 trees",24.5,7.05956227365769
15,2013,214.172489794404,"8 trees",24.5,19.8149267831838
2,1993,208.52878488702,"16 trees",39.7,0
2,1995,176.619030327201,"16 trees",39.7,1.50039925655676
2,1997,168.56858522879,"16 trees",39.7,3.57660218902733
2,2000,176.072780726485,"16 trees",39.7,7.14095821573622
2,2013,187.598664805133,"16 trees",39.7,19.9625111860673
3,1993,222.894155207019,"4 trees",14.3,0
3,1995,212.948537713172,"4 trees",14.3,1.45086560888276
3,1997,209.823603033295,"4 trees",14.3,3.52908248743471
3,2000,212.264754006961,"4 trees",14.3,7.09811767024736
3,2013,232.24850499845,"4 trees",14.3,19.8969744752143
4,1993,161.275431098818,"8 trees liberation",26.3,0
4,1995,141.57220424142,"8 trees liberation",26.3,1.43630458550389
5,1993,177.472166141343,"control",0,0
5,1995,178.611236960229,"control",0,1.42570271189585
5,1997,175.829996938607,"control",0,3.49717678345032
5,2000,178.366773087626,"control",0,7.07860478060546
5,2013,195.82393567596,"control",0,19.9473267571663
6,1993,164.19623259676,"control",0,0
6,1995,165.95262916407,"control",0,1.34941241916417
6,1997,160.687638979961,"control",0,3.44163827272095
6,2000,159.226642031535,"control",0,6.99901007354735
6,2013,177.953082489832,"control",0,19.9211335355014
7,1993,159.8598562425,"16 trees",53.8,0
7,1995,116.060603036573,"16 trees",53.8,1.43078428420894
7,1997,113.628912457758,"16 trees",53.8,3.48807767574891
7,2000,119.25719323023,"16 trees",53.8,7.09184856239651
7,2013,143.024206487783,"16 trees",53.8,19.8589191630288
8,1993,186.482941754934,"8 trees",20.8,0
8,1995,169.856609735797,"8 trees",20.8,1.43102095773329
8,1997,164.400054287784,"8 trees",20.8,3.48136635054443
8,2000,164.019145639813,"8 trees",20.8,7.08294110759864
8,2013,176.240212045174,"8 trees",20.8,19.8523767708699
9,1993,165.476748091568,"8 trees liberation",23,0
9,1995,148.415438767908,"8 trees liberation",23,1.4108908363822
